fips,geo_id,county_name,county_state,median_income
1001,05000US01001,Autauga County,"Autauga County, Alabama",58731
1003,05000US01003,Baldwin County,"Baldwin County, Alabama",58320
1005,05000US01005,Barbour County,"Barbour County, Alabama",32525
1007,05000US01007,Bibb County,"Bibb County, Alabama",47542
1009,05000US01009,Blount County,"Blount County, Alabama",49358
1011,05000US01011,Bullock County,"Bullock County, Alabama",37785
1013,05000US01013,Butler County,"Butler County, Alabama",40688
1015,05000US01015,Calhoun County,"Calhoun County, Alabama",47255
1017,05000US01017,Chambers County,"Chambers County, Alabama",42289
1019,05000US01019,Cherokee County,"Cherokee County, Alabama",41919
1021,05000US01021,Chilton County,"Chilton County, Alabama",47468
1023,05000US01023,Choctaw County,"Choctaw County, Alabama",35892
1025,05000US01025,Clarke County,"Clarke County, Alabama",37404
1027,05000US01027,Clay County,"Clay County, Alabama",40845
1029,05000US01029,Cleburne County,"Cleburne County, Alabama",44741
1031,05000US01031,Coffee County,"Coffee County, Alabama",55637
1033,05000US01033,Colbert County,"Colbert County, Alabama",48065
1035,05000US01035,Conecuh County,"Conecuh County, Alabama",37837
1037,05000US01037,Coosa County,"Coosa County, Alabama",38990
1039,05000US01039,Covington County,"Covington County, Alabama",42189
1041,05000US01041,Crenshaw County,"Crenshaw County, Alabama",43163
1043,05000US01043,Cullman County,"Cullman County, Alabama",44918
1045,05000US01045,Dale County,"Dale County, Alabama",47214
1047,05000US01047,Dallas County,"Dallas County, Alabama",33845
1049,05000US01049,DeKalb County,"DeKalb County, Alabama",40440
1051,05000US01051,Elmore County,"Elmore County, Alabama",60891
1053,05000US01053,Escambia County,"Escambia County, Alabama",36275
1055,05000US01055,Etowah County,"Etowah County, Alabama",44637
1057,05000US01057,Fayette County,"Fayette County, Alabama",39856
1059,05000US01059,Franklin County,"Franklin County, Alabama",43514
1061,05000US01061,Geneva County,"Geneva County, Alabama",41732
1063,05000US01063,Greene County,"Greene County, Alabama",24145
1065,05000US01065,Hale County,"Hale County, Alabama",34046
1067,05000US01067,Henry County,"Henry County, Alabama",50017
1069,05000US01069,Houston County,"Houston County, Alabama",47580
1071,05000US01071,Jackson County,"Jackson County, Alabama",41769
1073,05000US01073,Jefferson County,"Jefferson County, Alabama",53901
1075,05000US01075,Lamar County,"Lamar County, Alabama",38364
1077,05000US01077,Lauderdale County,"Lauderdale County, Alabama",48094
1079,05000US01079,Lawrence County,"Lawrence County, Alabama",44886
1081,05000US01081,Lee County,"Lee County, Alabama",51463
1083,05000US01083,Limestone County,"Limestone County, Alabama",59686
1085,05000US01085,Lowndes County,"Lowndes County, Alabama",30036
1087,05000US01087,Macon County,"Macon County, Alabama",33370
1089,05000US01089,Madison County,"Madison County, Alabama",65449
1091,05000US01091,Marengo County,"Marengo County, Alabama",33241
1093,05000US01093,Marion County,"Marion County, Alabama",35930
1095,05000US01095,Marshall County,"Marshall County, Alabama",45983
1097,05000US01097,Mobile County,"Mobile County, Alabama",47583
1099,05000US01099,Monroe County,"Monroe County, Alabama",30441
1101,05000US01101,Montgomery County,"Montgomery County, Alabama",50124
1103,05000US01103,Morgan County,"Morgan County, Alabama",52156
1105,05000US01105,Perry County,"Perry County, Alabama",23447
1107,05000US01107,Pickens County,"Pickens County, Alabama",39848
1109,05000US01109,Pike County,"Pike County, Alabama",37446
1111,05000US01111,Randolph County,"Randolph County, Alabama",43395
1113,05000US01113,Russell County,"Russell County, Alabama",42443
1115,05000US01115,St. Clair County,"St. Clair County, Alabama",58308
1117,05000US01117,Shelby County,"Shelby County, Alabama",77799
1119,05000US01119,Sumter County,"Sumter County, Alabama",24320
1121,05000US01121,Talladega County,"Talladega County, Alabama",41325
1123,05000US01123,Tallapoosa County,"Tallapoosa County, Alabama",45828
1125,05000US01125,Tuscaloosa County,"Tuscaloosa County, Alabama",53326
1127,05000US01127,Walker County,"Walker County, Alabama",43629
1129,05000US01129,Washington County,"Washington County, Alabama",41370
1131,05000US01131,Wilcox County,"Wilcox County, Alabama",31014
1133,05000US01133,Winston County,"Winston County, Alabama",35788
2013,05000US02013,Aleutians East Borough,"Aleutians East Borough, Alaska",69250
2016,05000US02016,Aleutians West Census Area,"Aleutians West Census Area, Alaska",87466
2020,05000US02020,Anchorage Municipality,"Anchorage Municipality, Alaska",84928
2050,05000US02050,Bethel Census Area,"Bethel Census Area, Alaska",53553
2060,05000US02060,Bristol Bay Borough,"Bristol Bay Borough, Alaska",79808
2068,05000US02068,Denali Borough,"Denali Borough, Alaska",81719
2070,05000US02070,Dillingham Census Area,"Dillingham Census Area, Alaska",56898
2090,05000US02090,Fairbanks North Star Borough,"Fairbanks North Star Borough, Alaska",76992
2100,05000US02100,Haines Borough,"Haines Borough, Alaska",58059
2105,05000US02105,Hoonah-Angoon Census Area,"Hoonah-Angoon Census Area, Alaska",59803
2110,05000US02110,Juneau City and Borough,"Juneau City and Borough, Alaska",88390
2122,05000US02122,Kenai Peninsula Borough,"Kenai Peninsula Borough, Alaska",66064
2130,05000US02130,Ketchikan Gateway Borough,"Ketchikan Gateway Borough, Alaska",72728
2150,05000US02150,Kodiak Island Borough,"Kodiak Island Borough, Alaska",85839
2158,05000US02158,Kusilvak Census Area,"Kusilvak Census Area, Alaska",36754
2164,05000US02164,Lake and Peninsula Borough,"Lake and Peninsula Borough, Alaska",44135
2170,05000US02170,Matanuska-Susitna Borough,"Matanuska-Susitna Borough, Alaska",75493
2180,05000US02180,Nome Census Area,"Nome Census Area, Alaska",61048
2185,05000US02185,North Slope Borough,"North Slope Borough, Alaska",79306
2188,05000US02188,Northwest Arctic Borough,"Northwest Arctic Borough, Alaska",60906
2195,05000US02195,Petersburg Borough,"Petersburg Borough, Alaska",69948
2198,05000US02198,Prince of Wales-Hyder Census Area,"Prince of Wales-Hyder Census Area, Alaska",52379
2220,05000US02220,Sitka City and Borough,"Sitka City and Borough, Alaska",73682
2230,05000US02230,Skagway Municipality,"Skagway Municipality, Alaska",73906
2240,05000US02240,Southeast Fairbanks Census Area,"Southeast Fairbanks Census Area, Alaska",70056
2261,05000US02261,Valdez-Cordova Census Area,"Valdez-Cordova Census Area, Alaska",79867
2275,05000US02275,Wrangell City and Borough,"Wrangell City and Borough, Alaska",53894
2282,05000US02282,Yakutat City and Borough,"Yakutat City and Borough, Alaska",71607
2290,05000US02290,Yukon-Koyukuk Census Area,"Yukon-Koyukuk Census Area, Alaska",41413
4001,05000US04001,Apache County,"Apache County, Arizona",32508
4003,05000US04003,Cochise County,"Cochise County, Arizona",49260
4005,05000US04005,Coconino County,"Coconino County, Arizona",59460
4007,05000US04007,Gila County,"Gila County, Arizona",43524
4009,05000US04009,Graham County,"Graham County, Arizona",51353
4011,05000US04011,Greenlee County,"Greenlee County, Arizona",63473
4012,05000US04012,La Paz County,"La Paz County, Arizona",34643
4013,05000US04013,Maricopa County,"Maricopa County, Arizona",64468
4015,05000US04015,Mohave County,"Mohave County, Arizona",45587
4017,05000US04017,Navajo County,"Navajo County, Arizona",40067
4019,05000US04019,Pima County,"Pima County, Arizona",53379
4021,05000US04021,Pinal County,"Pinal County, Arizona",58174
4023,05000US04023,Santa Cruz County,"Santa Cruz County, Arizona",41259
4025,05000US04025,Yavapai County,"Yavapai County, Arizona",52451
4027,05000US04027,Yuma County,"Yuma County, Arizona",45243
5001,05000US05001,Arkansas County,"Arkansas County, Arkansas",46696
5003,05000US05003,Ashley County,"Ashley County, Arkansas",44744
5005,05000US05005,Baxter County,"Baxter County, Arkansas",42260
5007,05000US05007,Benton County,"Benton County, Arkansas",66362
5009,05000US05009,Boone County,"Boone County, Arkansas",45374
5011,05000US05011,Bradley County,"Bradley County, Arkansas",43184
5013,05000US05013,Calhoun County,"Calhoun County, Arkansas",46417
5015,05000US05015,Carroll County,"Carroll County, Arkansas",46110
5017,05000US05017,Chicot County,"Chicot County, Arkansas",34147
5019,05000US05019,Clark County,"Clark County, Arkansas",41620
5021,05000US05021,Clay County,"Clay County, Arkansas",37233
5023,05000US05023,Cleburne County,"Cleburne County, Arkansas",44483
5025,05000US05025,Cleveland County,"Cleveland County, Arkansas",46684
5027,05000US05027,Columbia County,"Columbia County, Arkansas",36193
5029,05000US05029,Conway County,"Conway County, Arkansas",42802
5031,05000US05031,Craighead County,"Craighead County, Arkansas",47286
5033,05000US05033,Crawford County,"Crawford County, Arkansas",46828
5035,05000US05035,Crittenden County,"Crittenden County, Arkansas",40161
5037,05000US05037,Cross County,"Cross County, Arkansas",46787
5039,05000US05039,Dallas County,"Dallas County, Arkansas",38072
5041,05000US05041,Desha County,"Desha County, Arkansas",31893
5043,05000US05043,Drew County,"Drew County, Arkansas",46997
5045,05000US05045,Faulkner County,"Faulkner County, Arkansas",52827
5047,05000US05047,Franklin County,"Franklin County, Arkansas",38923
5049,05000US05049,Fulton County,"Fulton County, Arkansas",35405
5051,05000US05051,Garland County,"Garland County, Arkansas",44777
5053,05000US05053,Grant County,"Grant County, Arkansas",55388
5055,05000US05055,Greene County,"Greene County, Arkansas",47056
5057,05000US05057,Hempstead County,"Hempstead County, Arkansas",42860
5059,05000US05059,Hot Spring County,"Hot Spring County, Arkansas",43889
5061,05000US05061,Howard County,"Howard County, Arkansas",36059
5063,05000US05063,Independence County,"Independence County, Arkansas",44319
5065,05000US05065,Izard County,"Izard County, Arkansas",42876
5067,05000US05067,Jackson County,"Jackson County, Arkansas",34109
5069,05000US05069,Jefferson County,"Jefferson County, Arkansas",40726
5071,05000US05071,Johnson County,"Johnson County, Arkansas",38511
5073,05000US05073,Lafayette County,"Lafayette County, Arkansas",32397
5075,05000US05075,Lawrence County,"Lawrence County, Arkansas",39993
5077,05000US05077,Lee County,"Lee County, Arkansas",29681
5079,05000US05079,Lincoln County,"Lincoln County, Arkansas",46596
5081,05000US05081,Little River County,"Little River County, Arkansas",45113
5083,05000US05083,Logan County,"Logan County, Arkansas",41466
5085,05000US05085,Lonoke County,"Lonoke County, Arkansas",59094
5087,05000US05087,Madison County,"Madison County, Arkansas",41682
5089,05000US05089,Marion County,"Marion County, Arkansas",36719
5091,05000US05091,Miller County,"Miller County, Arkansas",43371
5093,05000US05093,Mississippi County,"Mississippi County, Arkansas",39962
5095,05000US05095,Monroe County,"Monroe County, Arkansas",38468
5097,05000US05097,Montgomery County,"Montgomery County, Arkansas",35741
5099,05000US05099,Nevada County,"Nevada County, Arkansas",38042
5101,05000US05101,Newton County,"Newton County, Arkansas",38082
5103,05000US05103,Ouachita County,"Ouachita County, Arkansas",35425
5105,05000US05105,Perry County,"Perry County, Arkansas",48667
5107,05000US05107,Phillips County,"Phillips County, Arkansas",29320
5109,05000US05109,Pike County,"Pike County, Arkansas",40401
5111,05000US05111,Poinsett County,"Poinsett County, Arkansas",40921
5113,05000US05113,Polk County,"Polk County, Arkansas",37974
5115,05000US05115,Pope County,"Pope County, Arkansas",43462
5117,05000US05117,Prairie County,"Prairie County, Arkansas",42660
5119,05000US05119,Pulaski County,"Pulaski County, Arkansas",51749
5121,05000US05121,Randolph County,"Randolph County, Arkansas",37218
5123,05000US05123,St. Francis County,"St. Francis County, Arkansas",35348
5125,05000US05125,Saline County,"Saline County, Arkansas",64412
5127,05000US05127,Scott County,"Scott County, Arkansas",36092
5129,05000US05129,Searcy County,"Searcy County, Arkansas",36438
5131,05000US05131,Sebastian County,"Sebastian County, Arkansas",46228
5133,05000US05133,Sevier County,"Sevier County, Arkansas",47704
5135,05000US05135,Sharp County,"Sharp County, Arkansas",34671
5137,05000US05137,Stone County,"Stone County, Arkansas",38188
5139,05000US05139,Union County,"Union County, Arkansas",44663
5141,05000US05141,Van Buren County,"Van Buren County, Arkansas",38499
5143,05000US05143,Washington County,"Washington County, Arkansas",50451
5145,05000US05145,White County,"White County, Arkansas",44029
5147,05000US05147,Woodruff County,"Woodruff County, Arkansas",32845
5149,05000US05149,Yell County,"Yell County, Arkansas",43923
6001,05000US06001,Alameda County,"Alameda County, California",99406
6003,05000US06003,Alpine County,"Alpine County, California",63750
6005,05000US06005,Amador County,"Amador County, California",62772
6007,05000US06007,Butte County,"Butte County, California",52537
6009,05000US06009,Calaveras County,"Calaveras County, California",63158
6011,05000US06011,Colusa County,"Colusa County, California",59401
6013,05000US06013,Contra Costa County,"Contra Costa County, California",99716
6015,05000US06015,Del Norte County,"Del Norte County, California",45283
6017,05000US06017,El Dorado County,"El Dorado County, California",83377
6019,05000US06019,Fresno County,"Fresno County, California",53969
6021,05000US06021,Glenn County,"Glenn County, California",49633
6023,05000US06023,Humboldt County,"Humboldt County, California",48041
6025,05000US06025,Imperial County,"Imperial County, California",47622
6027,05000US06027,Inyo County,"Inyo County, California",57316
6029,05000US06029,Kern County,"Kern County, California",53350
6031,05000US06031,Kings County,"Kings County, California",57848
6033,05000US06033,Lake County,"Lake County, California",47040
6035,05000US06035,Lassen County,"Lassen County, California",56352
6037,05000US06037,Los Angeles County,"Los Angeles County, California",68044
6039,05000US06039,Madera County,"Madera County, California",57585
6041,05000US06041,Marin County,"Marin County, California",115246
6043,05000US06043,Mariposa County,"Mariposa County, California",48820
6045,05000US06045,Mendocino County,"Mendocino County, California",51416
6047,05000US06047,Merced County,"Merced County, California",53672
6049,05000US06049,Modoc County,"Modoc County, California",45507
6051,05000US06051,Mono County,"Mono County, California",62260
6053,05000US06053,Monterey County,"Monterey County, California",71015
6055,05000US06055,Napa County,"Napa County, California",88596
6057,05000US06057,Nevada County,"Nevada County, California",66096
6059,05000US06059,Orange County,"Orange County, California",90234
6061,05000US06061,Placer County,"Placer County, California",89691
6063,05000US06063,Plumas County,"Plumas County, California",55359
6065,05000US06065,Riverside County,"Riverside County, California",67005
6067,05000US06067,Sacramento County,"Sacramento County, California",67151
6069,05000US06069,San Benito County,"San Benito County, California",86958
6071,05000US06071,San Bernardino County,"San Bernardino County, California",63362
6073,05000US06073,San Diego County,"San Diego County, California",78980
6075,05000US06075,San Francisco County,"San Francisco County, California",112449
6077,05000US06077,San Joaquin County,"San Joaquin County, California",64432
6079,05000US06079,San Luis Obispo County,"San Luis Obispo County, California",73518
6081,05000US06081,San Mateo County,"San Mateo County, California",122641
6083,05000US06083,Santa Barbara County,"Santa Barbara County, California",74624
6085,05000US06085,Santa Clara County,"Santa Clara County, California",124055
6087,05000US06087,Santa Cruz County,"Santa Cruz County, California",82234
6089,05000US06089,Shasta County,"Shasta County, California",54667
6091,05000US06091,Sierra County,"Sierra County, California",52148
6093,05000US06093,Siskiyou County,"Siskiyou County, California",45241
6095,05000US06095,Solano County,"Solano County, California",81472
6097,05000US06097,Sonoma County,"Sonoma County, California",81018
6099,05000US06099,Stanislaus County,"Stanislaus County, California",60704
6101,05000US06101,Sutter County,"Sutter County, California",59050
6103,05000US06103,Tehama County,"Tehama County, California",44514
6105,05000US06105,Trinity County,"Trinity County, California",40846
6107,05000US06107,Tulare County,"Tulare County, California",49687
6109,05000US06109,Tuolumne County,"Tuolumne County, California",60108
6111,05000US06111,Ventura County,"Ventura County, California",88131
6113,05000US06113,Yolo County,"Yolo County, California",70228
6115,05000US06115,Yuba County,"Yuba County, California",58054
8001,05000US08001,Adams County,"Adams County, Colorado",71202
8003,05000US08003,Alamosa County,"Alamosa County, Colorado",37515
8005,05000US08005,Arapahoe County,"Arapahoe County, Colorado",77469
8007,05000US08007,Archuleta County,"Archuleta County, Colorado",52221
8009,05000US08009,Baca County,"Baca County, Colorado",35878
8011,05000US08011,Bent County,"Bent County, Colorado",30900
8013,05000US08013,Boulder County,"Boulder County, Colorado",83019
8014,05000US08014,Broomfield County,"Broomfield County, Colorado",96416
8015,05000US08015,Chaffee County,"Chaffee County, Colorado",55771
